Date,observed,future_prediction,future_prediction2,future_prediction3,mean
2023-01-08,1289.6,,,,
2023-01-09,1320.5,,,,
2023-01-10,1335.5,,,,
2023-01-11,1390.2,,,,
2023-01-12,1416.6,,,,
2023-01-13,1451.0,,,,
2023-01-14,1550.0,,,,
2023-01-15,1553.2,,,,
2023-01-16,1577.1,,,,
2023-01-17,1565.1,,,,
2023-01-18,1511.7,,,,
2023-01-19,1551.4,,,,
2023-01-20,1658.4,,,,
2023-01-21,1626.4,,,,
2023-01-22,1628.0,,,,
2023-01-23,1626.4,,,,
2023-01-24,1556.5,,,,
2023-01-25,1609.8,,,,
2023-01-26,1601.6,,,,
2023-01-27,1598.2,,,,
2023-01-28,1572.9,,,,
2023-01-29,1645.3,,,,
2023-01-30,1566.3,,,,
2023-01-31,1585.3,,,,
2023-02-01,1642.0,,,,
2023-02-02,1644.0,,,,
2023-02-03,1664.2,,,,
2023-02-04,1667.0,,,,
2023-02-05,1629.8,,,,
2023-02-06,1614.0,,,,
2023-02-07,1671.7,,,,
2023-02-08,1650.6,,,,
2023-02-09,1545.6,,,,
2023-02-10,1514.4,,,,
2023-02-11,1538.9,,,,
2023-02-12,1515.7,,,,
2023-02-13,1506.4,,,,
2023-02-14,1556.6,,,,
2023-02-15,1675.3,,,,
2023-02-16,1638.3,,,,
2023-02-17,1694.5,,,,
2023-02-18,1692.2,,,,
2023-02-19,1682.7,,,,
2023-02-20,1703.9,,,,
2023-02-21,1659.8,,,,
2023-02-22,1643.5,,,,
2023-02-23,1650.7,,,,
2023-02-24,1607.8,,,,
2023-02-25,1595.0,,,,
2023-02-26,1642.0,,,,
2023-02-27,1634.3,,,,
2023-02-28,1605.4,,,,
2023-03-01,1665.3,,,,
2023-03-02,1648.0,,,,
2023-03-03,1569.8,,,,
2023-03-04,1566.8,,,,
2023-03-05,1564.6,,,,
2023-03-06,1565.8,,,,
2023-03-07,1561.5,,,,
2023-03-08,1532.3,,,,
2023-03-09,1437.7,,,,
2023-03-10,1431.5,,,,
2023-03-11,1484.0,,,,
2023-03-12,1591.4,,,,
2023-03-13,1679.9,,,,
2023-03-14,1704.6,,,,
2023-03-15,1656.7,,,,
2023-03-16,1676.9,,,,
2023-03-17,1794.4,,,,
2023-03-18,1764.1,,,,
2023-03-19,1785.9,,,,
2023-03-20,1738.1,,,,
2023-03-21,1806.9,,,,
2023-03-22,1738.2,,,,
2023-03-23,1817.2,,,,
2023-03-24,1751.7,,,,
2023-03-25,1744.3,,,,
2023-03-26,1775.7,,,,
2023-03-27,1716.4,,,,
2023-03-28,1773.4,,,,
2023-03-29,1793.2,,,,
2023-03-30,1794.0,,,,
2023-03-31,1822.2,,,,
2023-04-01,1821.4,,,,
2023-04-02,1796.0,,,,
2023-04-03,1811.4,,,,
2023-04-04,1871.6,,,,
2023-04-05,1909.6,,,,
2023-04-06,1873.0,,,,
2023-04-07,1865.1,,,,
2023-04-08,1850.8,,,,
2023-04-09,1859.7,,,,
2023-04-10,1911.4,,,,
2023-04-11,1891.9,,,,
2023-04-12,1919.2,,,,
2023-04-13,2014.6,,,,
2023-04-14,2101.8,,,,
2023-04-15,2092.8,,,,
2023-04-16,2120.4,,,,
2023-04-17,2075.4,,,,
2023-04-18,2104.8,,,,
2023-04-19,1934.8,,,,
2023-04-20,1942.9,,,,
2023-04-21,1848.4,,,,
2023-04-22,1874.1,,,,
2023-04-23,1862.2,,,,
2023-04-24,1841.8,,,,
2023-04-25,1866.1,,,,
2023-04-26,1866.5,,,,
2023-04-27,1909.5,,,,
2023-04-28,1892.3,,,,
2023-04-29,1909.2,,,,
2023-04-30,1868.8,,,,
2023-05-01,1830.5,,,,
2023-05-02,1870.7,,,,
2023-05-03,1905.4,,,,
2023-05-04,1878.3,,,,
2023-05-05,1997.0,,,,
2023-05-06,1900.8,,,,
2023-05-07,1873.1,,,,
2023-05-08,1849.2,,,,
2023-05-09,1847.7,,,,
2023-05-10,1842.7,,,,
2023-05-11,1795.7,,,,
2023-05-12,1808.5,,,,
2023-05-13,1796.2,,,,
2023-05-14,1800.2,,,,
2023-05-15,1816.4,,,,
2023-05-16,1824.4,,,,
2023-05-17,1822.4,,,,
2023-05-18,1800.8,,,,
2023-05-19,1812.9,,,,
2023-05-20,1820.2,,,,
2023-05-21,1805.4,,,,
2023-05-22,1817.7,,,,
2023-05-23,1854.5,,,,
2023-05-24,1800.0,,,,
2023-05-25,1806.0,,,,
2023-05-26,1828.6,,,,
2023-05-27,1831.0,,,,
2023-05-28,1909.3,,,,
2023-05-29,1893.6,,,,
2023-05-30,1901.3,,,,
2023-05-31,1874.0,,,,
2023-06-01,1862.4,,,,
2023-06-02,1907.2,,,,
2023-06-03,1892.7,,,,
2023-06-04,1890.6,,,,
2023-06-05,1810.7,,,,
2023-06-06,1884.5,,,,
2023-06-07,1832.8,,,,
2023-06-09,1840.6,,,,
2023-06-10,1752.5,,,,
2023-06-11,1753.4,,,,
2023-06-12,1742.7,,,,
2023-06-13,1739.4,,,,
2023-06-14,1651.0,,,,
2023-06-15,1665.2,,,,
2023-06-16,1717.0,,,,
2023-06-17,1727.1,,,,
2023-06-18,1720.5,,,,
2023-06-19,1736.8,,,,
2023-06-20,1792.4,,,,
2023-06-21,1889.8,,,,
2023-06-22,1872.6,,,,
2023-06-23,1893.7,,,,
2023-06-24,1876.2,,,,
2023-06-25,1899.9,,,,
2023-06-26,1859.4,,,,
2023-06-27,1890.0,,,,
2023-06-28,1827.8,,,,
2023-06-29,1852.1,,,,
2023-06-30,1933.3,,,,
2023-07-01,1924.4,,,,
2023-07-02,1937.6,,,,
2023-07-03,1956.0,,,,
2023-07-04,1936.7,,,,
2023-07-05,1910.4,,,,
2023-07-06,1847.6,,,,
2023-07-07,1870.8,,,,
2023-07-08,1865.5,,,,
2023-07-09,1863.5,,,,
2023-07-10,1880.7,,,,
2023-07-11,1878.7,,,,
2023-07-12,1871.7,,,,
2023-07-13,2004.8,,,,
2023-07-14,1938.9,,,,
2023-07-15,1931.5,,,,
2023-07-16,1923.6,,,,
2023-07-17,1911.4,,,,
2023-07-18,1897.7,,,,
2023-07-19,1888.7,,,,
2023-07-20,1891.5,,,,
2023-07-21,1892.0,,,,
2023-07-22,1866.4,,,,
2023-07-23,1889.4,,,,
2023-07-24,1849.6,,,,
2023-07-25,1857.5,,,,
2023-07-26,1872.2,,,,
2023-07-27,1861.0,,,,
2023-07-28,1874.2,,,,
2023-07-29,1880.8,,,,
2023-07-30,1861.7,,,,
2023-07-31,1856.2,,,,
2023-08-01,1872.7,,,,
2023-08-02,1839.1,,,,
2023-08-03,1834.5,,,,
2023-08-04,1827.3,,,,
2023-08-05,1835.0,,,,
2023-08-06,1827.6,,,,
2023-08-07,1827.0,,,,
2023-08-08,1855.9,,,,
2023-08-09,1854.2,,,,
2023-08-10,1850.4,,,,
2023-08-11,1847.2,,,,
2023-08-12,1849.2,,,,
2023-08-13,1839.3,,,,
2023-08-14,1843.9,,,,
2023-08-15,1827.3,,,,
2023-08-16,1805.6,,,,
2023-08-17,1683.5,,,,
2023-08-18,1661.1,,,,
2023-08-19,1669.6,,,,
2023-08-20,1685.4,,,,
2023-08-21,1667.4,,,,
2023-08-22,1634.0,,,,
2023-08-23,1679.5,,,,
2023-08-24,1660.8,,,,
2023-08-25,1653.0,,,,
2023-08-26,1646.3,,,,
2023-08-27,1657.8,,,,
2023-08-28,1652.2,,,,
2023-08-29,1729.2,,,,
2023-08-30,1705.3,,,,
2023-08-31,1645.6,,,,
2023-09-01,1628.6,,,,
2023-09-02,1637.1,,,,
2023-09-03,1635.8,,,,
2023-09-04,1629.7,,,,
2023-09-05,1634.0,,,,
2023-09-06,1632.2,,,,
2023-09-07,1647.9,,,,
2023-09-08,1636.0,,,,
2023-09-09,1635.3,,,,
2023-09-10,1616.8,,,,
2023-09-11,1551.7,,,,
2023-09-12,1593.3,,,,
2023-09-13,1608.1,,,,
2023-09-14,1627.1,,,,
2023-09-15,1641.5,,,,
2023-09-16,1635.0,,,,
2023-09-17,1623.3,,,,
2023-09-18,1637.6,,,,
2023-09-19,1643.5,,,,
2023-09-20,1622.4,,,,
2023-09-21,1583.9,,,,
2023-09-22,1593.2,,,,
2023-09-23,1594.1,,,,
2023-09-24,1581.0,,,,
2023-09-25,1588.1,,,,
2023-09-26,1593.1,,,,
2023-09-27,1597.3,,,,
2023-09-28,1653.1,,,,
2023-09-29,1667.6,,,,
2023-09-30,1671.1,,,,
2023-10-01,1732.1,,,,
2023-10-02,1663.0,,,,
2023-10-03,1657.1,,,,
2023-10-04,1647.0,,,,
2023-10-05,1611.4,,,,
2023-10-06,1646.0,,,,
2023-10-07,1635.0,,,,
2023-10-08,1633.9,,,,
2023-10-09,1580.0,,,,
2023-10-10,1567.6,,,,
2023-10-11,1566.6,,,,
2023-10-12,1539.6,,,,
2023-10-13,1552.2,,,,
2023-10-14,1555.0,,,,
2023-10-15,1557.9,,,,
2023-10-16,1600.3,,,,
2023-10-17,1565.5,,,,
2023-10-18,1563.7,,,,
2023-10-19,1567.7,,,,
2023-10-20,1604.9,,,,
2023-10-21,1629.7,,,,
2023-10-22,1664.1,,,,
2023-10-23,1766.7,,,,
2023-10-24,1785.4,,,,
2023-10-25,1787.8,,,,
2023-10-26,1804.1,,,,
2023-10-27,1780.1,,,,
2023-10-28,1776.7,,,,
2023-10-29,1796.0,,,,
2023-10-30,1809.9,,,,
2023-10-31,1815.8,,,,
2023-11-01,1847.4,,,,
2023-11-02,1801.0,,,,
2023-11-03,1832.6,,,,
2023-11-04,1857.2,,,,
2023-11-05,1894.6,,,,
2023-11-06,1901.9,,,,
2023-11-07,1886.2,,,,
2023-11-08,1889.3,,,,
2023-11-09,2121.3,,,,
2023-11-10,2079.0,,,,
2023-11-11,2054.0,,,,
2023-11-12,2046.5,,,,
2023-11-13,2053.9,,,,
2023-11-14,1979.5,,,,
2023-11-15,2060.0,,,,
2023-11-16,1962.4,,,,
2023-11-17,1962.0,,,,
2023-11-18,1963.4,,,,
2023-11-19,2012.2,,,,
2023-11-20,2023.0,,,,
2023-11-21,1934.3,,,,
2023-11-22,2064.4,,,,
2023-11-23,2062.7,,,,
2023-11-24,2082.9,,,,
2023-11-25,2084.2,,,,
2023-11-26,2062.6,,,,
2023-11-27,2027.9,,,,
2023-11-28,2049.5,,,,
2023-11-29,2029.4,,,,
