,observed,predicted,future_prediction,past_pred
2023-06-23,30716.000000000004,30469.777,,
2023-06-24,30548.000000000004,30932.906,,
2023-06-25,30477.000000000004,31015.734,,
2023-06-26,30274.0,30906.72,,
2023-06-27,30696.0,30730.434,,
2023-06-29,30444.000000000007,31053.025,,
2023-06-30,30469.000000000015,30982.71,,
2023-07-01,30591.999999999975,30907.78,,
2023-07-02,30615.999999999985,31016.914,,
2023-07-03,31157.999999999985,31081.822,,
2023-07-04,30770.999999999985,31518.344,,
2023-07-05,30500.99999999998,31341.078,,
2023-07-06,29912.00000000001,30976.121,,
2023-07-07,30347.999999999996,30438.06,,
2023-07-08,30293.000000000007,30681.383,,
2023-07-09,30167.000000000022,30805.434,,
2023-07-10,30420.99999999999,30662.223,,
2023-07-11,30621.0,30811.193,,
2023-07-12,30382.00000000002,31057.436,,
2023-07-13,31471.000000000025,30900.295,,
2023-07-14,30330.999999999985,31697.94,,
2023-07-15,30300.99999999999,31074.027,,
2023-07-16,30251.000000000025,30677.904,,
2023-07-17,30153.999999999975,30683.46,,
2023-07-18,29868.000000000025,30646.672,,
2023-07-19,29919.000000000007,30376.93,,
2023-07-20,29805.999999999975,30342.998,,
2023-07-21,29907.999999999996,30284.832,,
2023-07-22,29789.000000000007,30339.814,,
2023-07-23,30085.000000000007,30269.99,,
2023-07-24,29177.000000000025,30473.438,,
2023-07-25,29223.999999999985,29810.477,,
2023-07-26,29354.000000000007,29590.0,,
2023-07-27,29219.00000000002,29769.793,,
2023-07-28,29317.000000000015,29722.477,,
2023-07-29,29360.000000000025,29738.068,,
2023-07-30,29279.00000000001,29799.504,,
2023-07-31,29230.999999999975,29741.389,,
2023-08-01,29695.99999999999,29672.488,,
2023-08-02,29163.999999999996,30046.318,,
2023-08-03,29175.999999999985,29742.75,,
2023-08-04,29077.000000000007,29574.37,,
2023-08-05,29048.999999999975,29522.914,,
2023-08-06,29041.999999999996,29497.307,,
2023-08-07,29180.99999999999,29484.705,,
2023-08-08,29764.000000000004,29598.412,,
2023-08-09,29565.00000000001,30110.6,,
2023-08-10,29422.999999999975,30092.63,,
2023-08-11,29398.000000000004,29871.318,,
2023-08-12,29415.000000000015,29813.943,,
2023-08-13,29283.999999999985,29852.184,,
2023-08-14,29407.99999999998,29757.531,,
2023-08-15,29172.000000000007,29820.145,,
2023-08-16,28700.999999999996,29667.31,,
2023-08-17,26641.999999999996,29211.203,,
2023-08-18,26051.000000000004,27396.309,,
2023-08-19,26096.99999999998,26416.41,,
2023-08-20,26191.999999999985,26461.72,,
2023-08-21,26124.999999999985,26650.475,,
2023-08-22,26042.0,26589.648,,
2023-08-23,26430.999999999978,26460.332,,
2023-08-24,26168.0,26748.428,,
2023-08-25,26048.000000000004,26647.424,,
2023-08-26,26007.99999999998,26448.273,,
2023-08-27,26090.00000000001,26389.521,,
2023-08-28,26103.0,26471.389,,
2023-08-29,27725.999999999978,26509.71,,
2023-08-30,27299.99999999999,27831.025,,
2023-08-31,25932.0,27923.412,,
2023-09-01,25797.99999999999,26545.893,,
2023-09-02,25870.000000000015,26058.104,,
2023-09-03,25970.000000000004,26234.62,,
2023-09-04,25819.00000000001,26397.574,,
2023-09-05,25782.999999999978,26271.473,,
2023-09-06,25748.000000000022,26172.62,,
2023-09-07,26244.99999999998,26138.896,,
2023-09-08,25908.000000000015,26548.068,,
2023-09-09,25898.999999999978,26408.146,,
2023-09-10,25835.999999999978,26268.293,,
2023-09-11,25155.00000000002,26223.639,,
2023-09-12,25844.000000000022,25665.662,,
2023-09-13,26226.000000000015,26051.195,,
2023-09-14,26528.999999999978,26611.566,,
2023-09-15,26606.999999999978,26927.898,,
2023-09-16,26555.000000000007,27003.842,,
2023-09-17,,,27003.842,
2023-09-18,,,27320.955,
2023-09-19,,,27686.672,
2023-09-20,,,28050.885,
2023-09-21,,,28416.29,
2023-09-22,,,28785.105,
2023-09-23,,,29156.32,
0,,,,22788.014
1,,,,22978.004
2,,,,23660.51
3,,,,24012.857
4,,,,23958.506
5,,,,24188.71
6,,,,24057.555
7,,,,23865.49
8,,,,23611.057
9,,,,23086.004
10,,,,22822.855
11,,,,22919.35
12,,,,22950.035
13,,,,22776.758
14,,,,22980.611
15,,,,22998.611
16,,,,22373.31
17,,,,22065.93
18,,,,21979.441
19,,,,21928.19
20,,,,21789.645
21,,,,21473.729
22,,,,20585.938
23,,,,20079.076
24,,,,20073.236
25,,,,20935.84
26,,,,22469.191
27,,,,23560.582
28,,,,23895.46
29,,,,24380.725
30,,,,25839.94
31,,,,26243.129
32,,,,26967.115
33,,,,27211.896
34,,,,27505.078
35,,,,27119.979
36,,,,27443.322
37,,,,27169.268
38,,,,27011.03
39,,,,27225.344
40,,,,26863.39
41,,,,26763.639
42,,,,27285.465
43,,,,27397.455
44,,,,27668.59
45,,,,27803.062
46,,,,27722.209
47,,,,27455.314
48,,,,27506.521
49,,,,27546.846
50,,,,27486.043
51,,,,27403.154
52,,,,27391.578
53,,,,27583.44
54,,,,28363.953
55,,,,29071.748
56,,,,29235.729
57,,,,29575.836
58,,,,29771.496
59,,,,29742.297
60,,,,29699.467
61,,,,29209.672
62,,,,29480.148
63,,,,28763.705
64,,,,28099.588
65,,,,27262.629
66,,,,27176.809
67,,,,27036.877
68,,,,26927.977
69,,,,27347.467
70,,,,27631.04
71,,,,28329.865
72,,,,28578.838
73,,,,28651.291
74,,,,28663.479
75,,,,28017.627
76,,,,28020.273
77,,,,28205.426
78,,,,28211.72
79,,,,28592.111
80,,,,28453.387
81,,,,28150.174
82,,,,27555.408
83,,,,27248.385
84,,,,27089.477
85,,,,26675.674
86,,,,26408.146
87,,,,26284.984
88,,,,26314.979
89,,,,26454.908
90,,,,26465.104
91,,,,26678.703
92,,,,26463.059
93,,,,26390.375
94,,,,26472.777
95,,,,26313.098
96,,,,26294.535
97,,,,26488.207
98,,,,26104.967
99,,,,25992.26
100,,,,26074.834
101,,,,26202.54
102,,,,26898.947
103,,,,27079.97
104,,,,27150.719
105,,,,26903.283
106,,,,26554.348
107,,,,26601.672
108,,,,26521.826
109,,,,26529.188
110,,,,25785.115
111,,,,26245.506
112,,,,26000.738
113,,,,25952.926
114,,,,25937.56
115,,,,25596.877
116,,,,25484.71
117,,,,25390.174
118,,,,25387.293
119,,,,24938.791
120,,,,24977.494
121,,,,25421.525
122,,,,25724.719
123,,,,25785.166
124,,,,26090.482
125,,,,27024.45
126,,,,28344.81
127,,,,28926.195
128,,,,29640.19
129,,,,29885.283
130,,,,29908.148
131,,,,29760.707
132,,,,29895.629
133,,,,29836.871
134,,,,29807.121
135,,,,29872.803
136,,,,29917.393
137,,,,30224.01
138,,,,30164.203
139,,,,29993.525
140,,,,29590.057
141,,,,29622.584
142,,,,29609.422
143,,,,29533.645
144,,,,29652.203
145,,,,29824.523
146,,,,29781.094
147,,,,30322.924
148,,,,29990.607
149,,,,29801.098
150,,,,29680.61
151,,,,29565.826
152,,,,29355.28
153,,,,29278.867
154,,,,29212.627
155,,,,29226.305
156,,,,29174.734
157,,,,29312.086
158,,,,28896.418
159,,,,28715.246
160,,,,28703.91
161,,,,28624.143
162,,,,28642.713
163,,,,28683.715
164,,,,28676.059
165,,,,28635.475
166,,,,28863.836
167,,,,28693.512
168,,,,28610.55
169,,,,28521.576
170,,,,28462.56
171,,,,28427.809
172,,,,28485.914
173,,,,28838.96
174,,,,28902.95
175,,,,28856.074
176,,,,28818.234
177,,,,28802.572
178,,,,28715.025
179,,,,28734.586
180,,,,28630.148
181,,,,28325.486
182,,,,27049.512
183,,,,26123.945
184,,,,25725.184
185,,,,25597.17
186,,,,25529.08
187,,,,25492.754
188,,,,25723.22
189,,,,25683.73
190,,,,25588.871
191,,,,25522.727
192,,,,25536.436
193,,,,25547.516
194,,,,26414.951
195,,,,26632.002
196,,,,25977.984
197,,,,25587.604
198,,,,25432.994
199,,,,25394.871
200,,,,25286.988
201,,,,25259.752
202,,,,25248.58
203,,,,25498.64
204,,,,25436.754
205,,,,25399.691
206,,,,25353.346
207,,,,24954.041
208,,,,25131.922
209,,,,25426.664
210,,,,25742.287
211,,,,25939.041
