,observed,future_prediction,past_pred
2023-01-08,17119.0,,
2023-01-09,17179.0,,
2023-01-10,17446.0,,
2023-01-11,17930.0,,
2023-01-12,18853.0,,
2023-01-13,19931.0,,
2023-01-14,20960.0,,
2023-01-15,20885.0,,
2023-01-16,21189.0,,
2023-01-17,21134.0,,
2023-01-18,20670.0,,
2023-01-19,21086.0,,
2023-01-20,22678.0,,
2023-01-21,22783.0,,
2023-01-22,22717.0,,
2023-01-23,22922.0,,
2023-01-24,22637.0,,
2023-01-25,23054.0,,
2023-01-26,23010.0,,
2023-01-27,23083.0,,
2023-01-28,23033.0,,
2023-01-29,23746.0,,
2023-01-30,22831.0,,
2023-01-31,23127.0,,
2023-02-01,23735.0,,
2023-02-02,23498.0,,
2023-02-03,23434.0,,
2023-02-04,23330.0,,
2023-02-05,22937.0,,
2023-02-06,22763.0,,
2023-02-07,23252.0,,
2023-02-11,21868.0,,
2023-02-12,21789.0,,
2023-02-13,21790.0,,
2023-02-14,22211.0,,
2023-02-15,24332.0,,
2023-02-16,23521.0,,
2023-02-17,24580.0,,
2023-02-18,24640.0,,
2023-02-19,24296.0,,
2023-02-20,24843.0,,
2023-02-21,24450.0,,
2023-02-22,24188.0,,
2023-02-23,23939.0,,
2023-02-24,23189.0,,
2023-02-25,23161.0,,
2023-02-26,23562.0,,
2023-02-27,23493.0,,
2023-02-28,23136.0,,
2023-03-01,23634.0,,
2023-03-02,23466.0,,
2023-03-03,22359.0,,
2023-03-04,22347.0,,
2023-03-05,22428.0,,
2023-03-06,22407.0,,
2023-03-07,22200.0,,
2023-03-08,21704.0,,
2023-03-09,20367.0,,
2023-03-10,20220.0,,
2023-03-11,20618.0,,
2023-03-12,22183.0,,
2023-03-13,24209.0,,
2023-03-14,24750.0,,
2023-03-15,24368.0,,
2023-03-16,25050.0,,
2023-03-17,27466.0,,
2023-03-18,26980.0,,
2023-03-19,28054.0,,
2023-03-20,27815.0,,
2023-03-21,28192.0,,
2023-03-22,27320.0,,
2023-03-23,28343.0,,
2023-03-24,27493.0,,
2023-03-25,27499.0,,
2023-03-26,28004.0,,
2023-03-27,27142.0,,
2023-03-28,27272.0,,
2023-03-29,28353.0,,
2023-03-30,28039.0,,
2023-03-31,28476.0,,
2023-04-01,28469.0,,
2023-04-02,28186.0,,
2023-04-03,27816.0,,
2023-04-04,28178.0,,
2023-04-05,28183.0,,
2023-04-06,28051.0,,
2023-04-07,27931.0,,
2023-04-08,27969.0,,
2023-04-09,28340.0,,
2023-04-10,29652.0,,
2023-04-11,30246.0,,
2023-04-12,29903.0,,
2023-04-13,30410.0,,
2023-04-14,30498.0,,
2023-04-15,30332.0,,
2023-04-16,30330.0,,
2023-04-17,29448.0,,
2023-04-18,30395.0,,
2023-04-19,28827.0,,
2023-04-20,28238.0,,
2023-04-21,27254.0,,
2023-04-22,27817.0,,
2023-04-23,27596.0,,
2023-04-24,27512.0,,
2023-04-25,28300.0,,
2023-04-26,28428.0,,
2023-04-27,29485.0,,
2023-04-28,29333.0,,
2023-04-29,29247.0,,
2023-04-30,29235.0,,
2023-05-01,28079.0,,
2023-05-02,28680.0,,
2023-05-03,29033.0,,
2023-05-04,28851.0,,
2023-05-05,29547.0,,
2023-05-06,28911.0,,
2023-05-07,28472.0,,
2023-05-08,27690.0,,
2023-05-09,27650.0,,
2023-05-10,27618.0,,
2023-05-11,26991.0,,
2023-05-12,26811.0,,
2023-05-13,26789.0,,
2023-05-14,26933.0,,
2023-05-15,27166.0,,
2023-05-16,27037.0,,
2023-05-17,27404.0,,
2023-05-18,26818.0,,
2023-05-19,26893.0,,
2023-05-20,27115.0,,
2023-05-21,26750.0,,
