,observed,future_prediction,past_pred
2023-01-08,78.46,,
2023-01-09,81.8,,
2023-01-10,80.7,,
2023-01-11,84.07,,
2023-01-12,86.01,,
2023-01-13,86.32,,
2023-01-14,87.69,,
2023-01-15,87.38,,
2023-01-16,85.81,,
2023-01-17,87.07,,
2023-01-18,82.76,,
2023-01-19,84.13,,
2023-01-20,90.48,,
2023-01-21,88.0,,
2023-01-22,87.66,,
2023-01-23,89.93,,
2023-01-24,87.22,,
2023-01-25,89.28,,
2023-01-26,87.59,,
2023-01-27,88.75,,
2023-01-28,89.81,,
2023-01-29,95.04,,
2023-01-30,91.29,,
2023-01-31,94.35,,
2023-02-01,100.33,,
2023-02-02,98.59,,
2023-02-03,99.95,,
2023-02-04,98.35,,
2023-02-05,96.73,,
2023-02-06,95.9,,
2023-02-07,100.92,,
2023-02-11,94.4,,
2023-02-12,92.35,,
2023-02-13,91.13,,
2023-02-14,95.64,,
2023-02-15,102.9,,
2023-02-16,98.67,,
2023-02-17,100.1,,
2023-02-18,99.78,,
2023-02-19,97.44,,
2023-02-20,95.99,,
2023-02-21,93.83,,
2023-02-22,95.19,,
2023-02-23,94.67,,
2023-02-24,91.62,,
2023-02-25,93.13,,
2023-02-26,95.15,,
2023-02-27,93.68,,
2023-02-28,93.69,,
2023-03-01,97.8,,
2023-03-02,95.32,,
2023-03-03,90.63,,
2023-03-04,89.34,,
2023-03-05,89.89,,
2023-03-06,87.39,,
2023-03-07,86.22,,
2023-03-08,82.68,,
2023-03-09,76.69,,
2023-03-10,71.65,,
2023-03-11,69.82,,
2023-03-12,76.73,,
2023-03-13,81.8,,
2023-03-14,84.32,,
2023-03-15,76.58,,
2023-03-16,79.02,,
2023-03-17,85.82,,
2023-03-18,83.2,,
2023-03-19,84.09,,
2023-03-20,78.13,,
2023-03-21,82.66,,
2023-03-22,87.31,,
2023-03-23,93.79,,
2023-03-24,93.69,,
2023-03-25,91.66,,
2023-03-26,93.37,,
2023-03-27,89.27,,
2023-03-28,89.11,,
2023-03-29,91.34,,
2023-03-30,89.11,,
2023-03-31,89.83,,
2023-04-01,92.58,,
2023-04-02,92.97,,
2023-04-03,92.94,,
2023-04-04,92.62,,
2023-04-05,92.7,,
2023-04-06,91.0,,
2023-04-07,90.63,,
2023-04-08,89.96,,
2023-04-09,90.7,,
2023-04-10,93.83,,
2023-04-11,94.3,,
2023-04-12,92.1,,
2023-04-13,94.29,,
2023-04-14,96.44,,
2023-04-15,96.87,,
2023-04-16,100.13,,
2023-04-17,98.74,,
2023-04-18,101.88,,
2023-04-19,90.54,,
2023-04-20,90.27,,
2023-04-21,85.37,,
2023-04-22,87.02,,
2023-04-23,86.76,,
2023-04-24,88.35,,
2023-04-25,91.04,,
2023-04-26,88.16,,
2023-04-27,89.59,,
2023-04-28,89.74,,
2023-04-29,91.09,,
2023-04-30,88.17,,
2023-05-01,86.58,,
2023-05-02,88.3,,
2023-05-03,88.83,,
2023-05-04,88.49,,
2023-05-05,88.7,,
2023-05-06,83.45,,
2023-05-07,83.46,,
2023-05-08,77.82,,
2023-05-09,80.06,,
2023-05-10,81.01,,
2023-05-11,81.18,,
2023-05-12,80.48,,
2023-05-13,80.26,,
2023-05-14,83.41,,
2023-05-15,86.87,,
2023-05-16,89.99,,
2023-05-17,93.84,,
2023-05-18,90.37,,
2023-05-19,91.75,,
2023-05-20,92.39,,
2023-05-21,92.3,,
2023-05-22,90.8,,
2023-05-23,91.59,,
2023-05-24,86.16,,
2023-05-25,86.63,,
2023-05-26,87.12,,
2023-05-27,88.64,,
2023-05-28,91.49,,
2023-05-29,91.07,,
2023-05-30,92.32,,
2023-05-31,90.46,,
2023-06-01,94.2,,
2023-06-02,95.61,,
2023-06-03,96.05,,
2023-06-04,94.11,,
2023-06-05,87.79,,
2023-06-06,90.94,,
2023-06-07,88.93,,
2023-06-08,88.47,,
2023-06-09,89.31,,
2023-06-10,77.26,,
2023-06-11,77.63,,
2023-06-12,77.66,,
2023-06-13,77.38,,
2023-06-14,73.15,,
2023-06-15,74.54,,
2023-06-16,76.06,,
2023-06-17,76.82,,
2023-06-18,77.17,,
2023-06-19,77.38,,
2023-06-20,80.37,,
2023-06-21,85.1,,
2023-06-22,86.0,,
2023-06-23,90.75,,
2023-06-24,89.75,,
2023-06-25,88.09,,
2023-06-26,87.24,,
2023-06-27,88.05,,
2023-06-29,84.8,,
2023-06-30,108.5,,
2023-07-01,107.13,,
2023-07-02,113.63,,
2023-07-03,107.1,,
2023-07-04,104.2,,
2023-07-05,102.65,,
2023-07-06,95.46,,
2023-07-07,98.29,,
2023-07-08,97.92,,
2023-07-09,95.08,,
2023-07-10,96.75,,
2023-07-11,96.78,,
2023-07-12,96.31,,
2023-07-13,101.94,,
2023-07-14,95.21,,
2023-07-15,94.68,,
2023-07-16,93.03,,
2023-07-17,92.24,,
2023-07-18,91.64,,
2023-07-19,91.98,,
2023-07-20,92.34,,
2023-07-21,94.05,,
2023-07-22,92.02,,
2023-07-23,93.28,,
2023-07-24,89.18,,
2023-07-25,89.53,,
2023-07-26,90.71,,
2023-07-27,90.47,,
2023-07-28,91.52,,
2023-07-29,94.43,,
2023-07-30,94.06,,
2023-07-31,92.26,,
2023-08-01,93.7,,
2023-08-02,87.45,,
2023-08-03,82.41,,
2023-08-04,82.08,,
2023-08-05,83.06,,
2023-08-06,82.47,,
2023-08-07,82.27,,
2023-08-08,83.91,,
2023-08-09,84.02,,
2023-08-10,83.01,,
2023-08-11,83.5,,
2023-08-12,83.37,,
2023-08-13,81.95,,
2023-08-14,82.02,,
2023-08-15,79.21,,
2023-08-16,74.46,,
2023-08-17,64.86,,
2023-08-18,64.01,,
2023-08-19,64.1,,
2023-08-20,65.22,,
2023-08-21,66.92,,
2023-08-22,64.53,,
2023-08-23,65.67,,
2023-08-24,64.85,,
2023-08-25,65.13,,
2023-08-26,65.0,,
2023-08-27,65.33,,
2023-08-28,65.57,,
2023-08-29,68.91,,
2023-08-30,67.62,,
2023-08-31,63.92,,
2023-09-01,63.03,,
2023-09-02,64.56,,
2023-09-03,63.93,,
