Date,Close
2017-06-28,42.04
2017-06-29,40.5
2017-06-30,39.88
2017-07-01,38.1
2017-07-02,41.42
2017-07-03,45.47
2017-07-04,55.01
2017-07-05,52.66
2017-07-06,50.92
2017-07-07,46.17
2017-07-08,50.7
2017-07-10,44.8
2017-07-11,44.19
2017-07-12,47.25
2017-07-13,45.68
2017-07-14,42.52
2017-07-15,38.14
2017-07-16,40.35
2017-07-17,42.6
2017-07-18,43.5
2017-07-19,40.44
2017-07-20,45.06
2017-07-21,45.45
2017-07-22,46.87
2017-07-23,45.29
2017-07-24,44.95
2017-07-25,42.02
2017-07-27,41.65
2017-07-28,40.25
2017-07-29,40.54
2017-07-30,39.86
2017-07-31,42.11
2017-08-01,43.16
2017-08-02,41.69
2017-08-03,42.5
2017-08-04,42.99
2017-08-05,46.24
2017-08-06,45.25
2017-08-07,45.73
2017-08-08,48.65
2017-08-09,47.68
2017-08-10,46.75
2017-08-11,46.87
2017-08-12,46.23
2017-08-13,45.05
2017-08-14,45.3
2017-08-15,42.86
2017-08-16,43.95
2017-08-17,43.77
2017-08-18,46.85
2017-08-19,44.98
2017-08-20,45.63
2017-08-21,47.66
2017-08-22,46.29
2017-08-23,52.89
2017-08-24,49.83
2017-08-25,50.95
2017-08-26,51.46
2017-08-27,60.21
2017-08-28,62.29
2017-08-29,63.53
2017-08-30,65.43
2017-08-31,73.06
2017-09-01,87.55
2017-09-02,79.34
2017-09-03,78.48
2017-09-04,67.82
2017-09-05,73.33
2017-09-06,81.4
2017-09-07,80.42
2017-09-08,73.34
2017-09-09,70.85
2017-09-10,66.66
2017-09-11,68.42
2017-09-12,65.8
2017-09-13,61.85
2017-09-14,45.41
2017-09-15,51.93
2017-09-16,51.82
2017-09-17,50.69
2017-09-18,56.23
2017-09-19,52.68
2017-09-20,51.42
2017-09-21,45.63
2017-09-22,47.72
2017-09-23,49.23
2017-09-24,47.68
2017-09-25,52.09
2017-09-26,52.09
2017-09-27,56.97
2017-09-28,54.94
2017-09-29,52.82
2017-09-30,55.15
2017-10-01,54.28
2017-10-02,53.23
2017-10-03,52.04
2017-10-04,51.21
2017-10-05,51.74
2017-10-06,52.0
2017-10-07,52.54
2017-10-08,53.03
2017-10-09,50.03
2017-10-10,50.46
2017-10-11,50.74
2017-10-12,59.67
2017-10-13,58.98
2017-10-14,63.63
2017-10-15,65.64
2017-10-16,64.63
2017-10-17,59.19
2017-10-18,60.39
2017-10-19,59.55
2017-10-20,60.01
2017-10-21,57.95
2017-10-22,56.49
2017-10-23,54.4
2017-10-24,55.5
2017-10-25,56.24
2017-10-26,55.47
2017-10-27,54.93
2017-10-28,54.16
2017-10-29,56.69
2017-10-30,56.29
2017-10-31,55.45
2017-11-01,52.84
2017-11-02,54.27
2017-11-03,56.01
2017-11-04,54.83
2017-11-05,54.44
2017-11-06,54.48
2017-11-07,60.9
2017-11-08,62.39
2017-11-09,64.48
2017-11-10,59.08
2017-11-11,62.47
2017-11-12,58.7
2017-11-14,61.99
2017-11-15,63.36
2017-11-16,70.25
2017-11-17,67.22
2017-11-18,69.33
2017-11-19,71.56
2017-11-20,71.7
2017-11-21,69.62
2017-11-22,72.0
2017-11-23,72.71
2017-11-24,77.53
2017-11-25,88.25
2017-11-26,85.43
2017-11-27,90.5
2017-11-28,93.59
2017-11-29,84.39
2017-11-30,85.97
2017-12-01,97.44
2017-12-02,99.27
2017-12-03,100.82
2017-12-04,103.5
2017-12-05,100.02
2017-12-06,96.34
2017-12-07,93.79
2017-12-08,121.11
2017-12-09,148.49
2017-12-10,142.85
2017-12-11,208.04
2017-12-12,307.39
2017-12-13,300.84
2017-12-14,274.65
2017-12-15,295.34
2017-12-16,294.79
2017-12-17,314.49
2017-12-18,357.12
2017-12-19,346.0
2017-12-20,305.84
2017-12-21,306.0
2017-12-22,264.98
2017-12-23,281.47
2017-12-24,274.97
2017-12-25,268.59
2017-12-26,279.0
2017-12-27,264.49
2017-12-28,249.95
2017-12-29,240.0
2017-12-30,211.17
2017-12-31,227.16
2018-01-01,223.57
2018-01-02,250.79
2018-01-03,244.03
2018-01-04,237.9
2018-01-05,245.14
2018-01-06,278.98
2018-01-07,271.12
2018-01-08,254.23
2018-01-09,245.81
2018-01-10,249.57
2018-01-11,226.88
2018-01-12,235.37
2018-01-13,258.54
2018-01-14,236.79
2018-01-15,232.33
2018-01-16,188.94
2018-01-17,188.79
2018-01-18,192.81
2018-01-19,192.58
2018-01-20,211.07
2018-01-21,191.0
2018-01-22,179.03
2018-01-23,177.41
2018-01-24,180.9
2018-01-25,179.0
2018-01-26,175.92
2018-01-27,182.12
2018-01-28,193.76
2018-01-29,180.08
2018-01-30,163.31
2018-01-31,163.0
2018-02-01,140.99
2018-02-02,130.66
2018-02-03,160.52
2018-02-04,147.91
2018-02-05,124.97
2018-02-06,143.02
2018-02-07,137.66
2018-02-08,149.95
2018-02-09,163.7
2018-02-10,154.22
2018-02-11,149.02
2018-02-12,160.48
2018-02-13,159.19
2018-02-14,212.68
2018-02-15,221.31
2018-02-16,228.35
2018-02-17,229.29
2018-02-18,214.54
2018-02-19,221.96
2018-02-20,229.2
2018-02-21,209.75
2018-02-22,192.68
2018-02-23,207.32
2018-02-24,205.24
